Name;MP;Region;County Area;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
Old Bexley and Sidcup;James Brokenshire;17;Bexley;65665;24625;8768;6996;1532;371;0;0;3200
Oldham East and Saddleworth;Phil Woolas;6;Eastern Manchester;72765;11773;14186;14083;1720;0;0;0;2758
Oldham West and Royton;Michael Meacher;6;Eastern Manchester;72651;10151;19503;8193;1387;0;0;0;3676
Orpington;Joseph Johnson;17;Bromley;67732;29200;4400;12000;1360;511;0;0;1440
Oxford East;Andrew Smith;15;Oxfordshire;81886;9727;21938;17357;1202;1238;0;0;189
Oxford West and Abingdon;Nicola Blackwood;15;Oxfordshire;86458;23906;5999;23730;1518;1184;0;0;143
Pendle;Andrew Stephenson;5;Lancashire;66417;17512;13927;9095;1476;0;0;0;3035
Penistone and Stocksbridge;Angela Smith;8;South Yorkshire;68501;14516;17565;9800;1936;0;0;0;2699
Penrith and The Border;Rory Stewart;4;Cumbria;64548;24071;5834;12830;1259;0;0;0;1093
Peterborough;Stewart Jackson;13;Cambridgeshire;70316;18133;13272;8816;3007;523;0;0;1176
Plymouth Moor View;Alison Seabeck;18;Devon;67261;13845;15433;7016;3188;398;0;0;1646
Plymouth Sutton and Devonport;Oliver Colvile;18;Devon;71035;15050;13901;10829;2854;904;0;0;356
Poole;Robert Syms;18;Dorset;64661;22532;6041;14991;2507;0;0;0;1365
Poplar and Limehouse;Jim Fitzpatrick;16;Tower Hamlets;74956;12649;18679;5209;565;449;0;8160;989
Portsmouth North;Penny Mordaunt;19;Hampshire;70329;19533;12244;8874;1812;461;0;0;1194
Portsmouth South;Mike Hancock;19;Hampshire;70242;13721;5640;18921;876;716;0;0;1390
Preston;Mark Hendrick;5;Lancashire;62460;7060;15668;7935;1462;0;0;0;380
Pudsey;Stuart Andrew;7;West Yorkshire;69257;18874;17215;10224;1221;0;0;0;1549
Putney;Justine Greening;17;Wandsworth;63370;21223;11170;6907;435;591;0;0;459
Rayleigh and Wickford;Mark Francois;14;Essex;75905;30257;7577;7919;2211;0;0;0;4379
Reading East;Rob Wilson;19;Berkshire;74922;21269;12729;13664;1086;1069;0;0;168
Reading West;Alok Sharma;19;Berkshire;72118;20523;14519;9546;1508;582;0;0;852
Redcar;Ian Swales;4;Teesside;67125;5790;13741;18955;1875;0;0;0;1602
Redditch;Karen Lumley;11;Hereford and Worcestershire;68550;19138;13317;7750;1497;393;0;0;1923
Reigate;Crispin Blunt;19;Surrey;71604;26688;5672;13097;2089;1087;0;0;1345
Ribble South;Lorraine Fullbrook;5;Lancashire;75822;23396;17842;7271;1895;0;0;0;1054
Ribble Valley;Nigel Evans;5;Lancashire;78068;26298;11529;10732;3496;0;0;0;232
Richmond;William Hague;7;North Yorkshire;79478;33541;8150;10205;0;1516;0;0;0
Richmond Park;Zac Goldsmith;17;Richmond Upon Thames;77060;29461;2979;25370;669;572;0;0;217
Rochdale;Simon Danczuk;6;Eastern Manchester;78952;8305;16699;15810;1999;0;0;0;3094
Rochester and Strood;Mark Reckless;20;Kent;73882;23604;13651;7800;0;734;0;0;2182
Rochford and Southend East;James Duddridge;14;Essex;71080;19509;8459;8084;2405;707;0;0;2467
Romford;Andrew Rosindell;16;Havering;71193;26031;9077;5572;2050;447;0;2438;866
Romsey and Southampton North;Caroline Nokes;19;Hampshire;66901;24345;3116;20189;1289;0;0;0;0
Rossendale and Darwen;Jake Berry;5;Lancashire;73003;19691;15198;8541;1617;0;0;0;2081
Rother Valley;Kevin Barron;8;South Yorkshire;72841;13281;19147;8111;2613;0;0;0;3606
Rotherham;Denis MacShane;8;South Yorkshire;63565;6279;16741;5994;2220;0;0;3906;2366
Rugby;Mark Pawsey;10;Warwickshire;68914;20901;14901;9434;406;451;0;0;1375
Ruislip, Northwood and Pinner;Nick Hurd;17;Hillingdon;70873;28866;9806;8345;1351;740;0;0;1097
Runnymede and Weybridge;Philip Hammond;19;Surrey;72566;26915;6446;10406;3146;696;0;0;541
Rushcliffe;Kenneth Clarke;10;Nottinghamshire;72955;27470;11128;11659;2179;1251;0;0;0
Rutland and Melton;Alan Duncan;10;Leicestershire;77185;28228;7893;14228;2526;0;0;0;2345
Saffron Walden;Sir Alan Haselhurst;14;Essex;76035;30155;5288;14913;2228;735;0;0;1050
Salford and Eccles;Hazel Blears;6;Central Manchester;75482;8497;16655;10930;1084;0;0;0;4367
Salisbury;John Glen;15;Wiltshire;67429;23859;3690;17893;1392;506;0;0;1141
Scarborough and Whitby;Robert Goodwill;7;North Yorkshire;75443;21108;12978;11093;1484;734;0;0;1885
Scunthorpe;Nic Dakin;8;Humber area;63089;12091;14640;6774;1686;396;0;0;1447
Sedgefield;Phil Wilson;4;Durham;64727;9445;18141;8033;1479;0;0;0;3124
Sefton Central;Bill Esterson;5;Merseyside;67512;16445;20307;9656;2055;0;0;0;0
Selby and Ainsty;Nigel Adams;7;North Yorkshire;72789;25562;13297;9180;1635;0;0;0;2054
Sevenoaks;Michael Fallon;20;Kent;69591;28076;6541;10561;1782;0;0;0;2448
Sheffield Brightside and Hillsborough;David Blunkett;8;South Yorkshire;68186;4468;21400;7768;1596;0;0;3026;656
Sheffield Central;Paul Blomfield;8;South Yorkshire;69519;4206;17138;16973;652;1556;0;0;943
Sheffield Hallam;Nick Clegg;8;South Yorkshire;69378;12040;8228;27324;1195;919;0;0;1429
Sheffield Heeley;Meg Munn;8;South Yorkshire;65869;7081;17409;11602;1530;989;0;0;2260
Sheffield South East;Clive Betts;8;South Yorkshire;67284;7202;20169;9664;1889;0;0;0;2484
Sherwood;Mark Spencer;10;Nottinghamshire;71043;19211;18997;7283;1490;0;0;0;1973
Shipley;Philip Davies;7;West Yorkshire;67689;24002;14058;9890;0;1477;0;0;0
Shrewsbury and Atcham;Daniel Kawczynski;11;Shropshire;75438;23313;10915;15369;1627;565;0;0;1256
Shropshire North;Owen Paterson;11;Shropshire;78926;26692;9406;10864;2432;808;0;0;1667
Sittingbourne and Sheppey;Gordon Henderson;20;Kent;75354;24313;11930;7943;2610;0;0;0;1782
Skipton and Ripon;Julian Smith;7;North Yorkshire;77381;27685;5498;17735;1909;0;0;0;1897
Sleaford and North Hykeham;Stephen Phillips;8;Lincolnshire;85550;30719;10051;10814;2163;0;0;3806;1977
Slough;Fiona Mactaggart;19;Berkshire;77068;16361;21884;6943;1517;542;0;0;495
Solihull;Lorely Burt;9;Coventry and Solihull;77863;23460;4891;23635;1200;0;0;0;1943
Somerset North;Liam Fox;15;Bristol area;77304;28549;6448;20687;2257;0;0;0;0
Somerset North East;Jacob Rees-Mogg;15;Bristol area;67412;21130;16216;11433;1754;670;0;0;0
Somerton and Frome;David Heath;18;Somerset;81548;26976;2675;28793;1932;0;0;0;236
South Holland and The Deepings;John Hayes;8;Lincolnshire;76243;29639;7024;7759;3246;724;0;0;1796
South Shields;David Miliband;4;Newcastle area;63294;7886;18995;5189;0;0;0;0;4448
Southampton Itchen;John Denham;19;Hampshire;74532;16134;16326;9256;1928;600;0;0;168
Southampton Test;Alan Whitehead;19;Hampshire;71931;14588;17001;9865;1726;881;0;0;126
Southend West;David Amess;14;Essex;66527;20086;5850;12816;1714;644;0;0;2496
Southport;John Pugh;5;Merseyside;67202;15683;4116;21707;2251;0;0;0;0
Spelthorne;Kwasi Kwarteng;19;Surrey;70479;22261;7789;12242;4009;0;0;0;1003
St Albans;Anne Main;14;Hertfordshire;70058;21533;9288;19228;2028;758;0;0;0
St Austell and Newquay;Stephen Gilbert;18;Cornwall;76346;18877;3386;20189;1757;0;0;2007;1022
St Helens North;Dave Watts;5;Merseyside;74985;9940;23041;8992;2100;0;0;0;483
St Helens South and Whiston;Shaun Woodward;5;Merseyside;77975;8209;24364;10242;1226;0;0;0;2040
St Ives;Andrew George;18;Cornwall;66930;17900;3751;19619;2560;1308;0;0;783
Stafford;Jeremy Lefroy;11;Staffordshire;70587;22047;16587;8211;1727;564;0;0;1103
Staffordshire Moorlands;Karen Bradley;11;Staffordshire;62071;19793;13104;7338;3580;0;0;0;0
Staffordshire South;Gavin Williamson;11;Staffordshire;73390;26834;10244;8427;2753;0;0;0;2182
Stalybridge and Hyde;Jonathan Reynolds;6;Eastern Manchester;69037;13445;16189;6965;1342;679;0;0;2259
Stevenage;Stephen McPartland;14;Hertfordshire;68937;18491;14913;7432;2004;0;0;0;1811
Stockport;Ann Coffey;6;Eastern Manchester;63525;9913;16697;9778;862;677;0;0;1201
Stockton North;Alex Cunningham;4;Teesside;67363;10247;16923;6342;1556;0;0;0;4430
Stockton South;James Wharton;4;Teesside;74552;19577;19245;7600;1471;0;0;0;2391
Stoke-on-Trent Central;Tristram Hunt;11;Staffordshire;60995;6833;12605;7039;1402;0;0;0;4591
Stoke-on-Trent North;Joan Walley;11;Staffordshire;72052;9580;17815;7120;2485;0;0;0;3196
Stoke-on-Trent South;Robert Flello;11;Staffordshire;68031;11316;15446;6323;1363;0;0;3762;1642
Stone;William Cash;11;Staffordshire;66979;23890;9770;10598;2481;490;0;0;0
Stourbridge;Margot James;9;Black Country;69637;20153;14989;7733;2103;394;0;0;1862
Stratford-on-Avon;Nadhim Zahawi;10;Warwickshire;69516;26052;4809;14706;1846;527;0;0;2602
Streatham;Chuka Umunna;17;Lambeth;74531;8578;20037;16778;0;861;0;0;583
Stretford and Urmston;Kate Green;6;Central Manchester;70091;12886;21821;7601;1508;916;0;0;178
Stroud;Neil Carmichael;15;Gloucestershire;78305;23679;22380;8955;1301;1542;0;0;116
Suffolk Central and Ipswich North;Daniel Poulter;13;Suffolk;75848;27125;8636;13339;2361;1452;0;0;507
Suffolk Coastal;Therese Coffey;13;Suffolk;76687;25475;8812;16347;3156;1103;0;0;0
Suffolk South;Tim Yeo;13;Suffolk;72498;24550;7368;15861;3637;0;0;0;0
Suffolk West;Matthew Hancock;13;Suffolk;74413;24312;7089;11262;3085;0;0;0;2341
Sunderland Central;Julie Elliott;4;Newcastle area;74485;12770;19495;7191;1094;0;0;0;1913
Surrey East;Sam Gyimah;19;Surrey;76855;31007;4925;14133;3770;0;0;0;805
Surrey Heath;Michael Gove;19;Surrey;77690;31326;5552;14037;3432;0;0;0;0
Surrey South West;Jeremy Hunt;19;Surrey;77980;33605;3419;17287;1486;690;0;0;772
Sussex Mid;Nicholas Soames;20;West Sussex;77182;28329;3689;20927;1423;645;0;0;842
Sutton and Cheam;Paul Burstow;17;Sutton;66658;20548;3376;22156;950;246;0;0;1232
Sutton Coldfield;Andrew Mitchell;9;Birmingham;74489;27303;10298;9117;1587;535;0;0;1749
Swindon North;Justin Tomlinson;15;Wiltshire;78391;22408;15348;8668;1842;487;0;0;1542
Swindon South;Robert Buckland;15;Wiltshire;72622;19687;16143;8305;2029;619;0;0;336
Tamworth;Christopher Pincher;11;Staffordshire;72693;21238;15148;7516;2253;0;0;0;235
Tatton;George Osborne;11;Cheshire;65689;24687;7803;10200;0;0;0;0;2541
Taunton Deane;Jeremy Browne;18;Somerset;82537;24538;2967;28531;2114;0;0;0;0
Telford;David Wright;11;Shropshire;65061;14996;15974;6399;2428;0;0;0;1513
Tewkesbury;Laurence Robertson;15;Gloucestershire;76655;25472;6253;19162;2230;525;0;0;319
Thanet North;Roger Gale;20;Kent;69432;22826;9298;8400;2819;0;0;0;0
Thanet South;Laura Sandys;20;Kent;71596;22043;14426;6935;2529;0;0;0;0
Thirsk and Malton;Anne McIntosh;7;North Yorkshire;76231;20167;5169;8886;2502;0;0;0;1418
Thornbury and Yate;Steve Webb;15;Bristol area;64092;17916;3385;25032;1709;0;0;0;184
Thurrock;Jackie Doyle-Price;14;Essex;77758;16869;16777;4901;3390;0;0;3618;266
Tiverton and Honiton;Neil Parish;18;Devon;76810;27614;4907;18294;3277;802;0;0;0
Tonbridge and Malling;Sir John Stanley;20;Kent;71790;29723;6476;11545;1911;764;0;0;895
Tooting;Sadiq Khan;17;Wandsworth;73836;19514;22038;7509;624;609;0;0;361
Torbay;Adrian Sanders;18;Devon;76151;19048;3231;23126;2628;468;0;0;709
Totnes;Sarah Wollaston;18;Devon;67937;21940;3538;17013;2890;1181;0;0;1281
Tottenham;David Lammy;16;Haringey;69933;6064;24128;7197;466;980;0;0;1852
Truro and Falmouth;Sarah Newton;18;Cornwall;70598;20349;4697;19914;1911;858;0;0;1039
Tunbridge Wells;Greg Clark;20;Kent;72042;28302;5448;12726;2054;914;0;0;876
Twickenham;Vincent Cable;17;Richmond Upon Thames;79861;20343;4583;32483;868;674;0;0;770
Tynemouth;Alan Campbell;4;Newcastle area;75680;18121;23860;7845;900;538;0;0;1404
Tyneside North;Mary Glindon;4;Newcastle area;77690;8514;23505;10621;1306;0;0;0;2459
Uxbridge and South Ruislip;John Randall;17;Hillingdon;71168;21758;10542;8995;1234;477;0;0;2070
Vauxhall;Kate Hoey;17;Lambeth;74811;9301;21498;10847;0;708;0;0;837
Wakefield;Mary Creagh;7;West Yorkshire;70834;15841;17454;7256;0;873;0;0;3020
Wallasey;Angela Eagle;5;Merseyside;65915;13071;21578;5693;1205;0;0;0;107
Walsall North;David Winnick;9;Black Country;65183;12395;13385;4754;1737;0;0;2930;986
Walsall South;Valerie Vaz;9;Black Country;64830;14456;16211;5880;3449;0;0;0;886
Walthamstow;Stella Creasy;16;Waltham Forest;64625;5734;21252;11774;823;767;0;0;644
Wansbeck;Ian Lavery;4;Northumberland;63045;6714;17548;10517;974;601;0;0;1919
Wantage;Ed Vaizey;15;Oxfordshire;80456;29284;7855;15737;2421;1044;0;0;0
Warley;John Spellar;9;Black Country;63106;9484;20240;5929;2617;0;0;0;0
Warrington North;Helen Jones;11;Cheshire;71601;13364;20135;9196;0;0;0;0;1516
Warrington South;David Mowat;11;Cheshire;80506;19641;18088;15094;1624;427;0;0;0
Warwick and Leamington;Chris White;10;Warwickshire;67800;20876;17363;8977;926;693;0;0;197
Warwickshire North;Dan Byles;10;Warwickshire;70143;18993;18939;5481;1335;0;0;0;2517
Washington and Sunderland West;Sharon Hodgson;4;Newcastle area;68910;8157;19615;6382;1267;0;0;0;1913
Watford;Richard Harrington;14;Hertfordshire;80798;19291;14750;17866;1199;885;0;0;1217
Waveney;Peter Aldous;13;Suffolk;78532;20571;19802;6811;2684;1167;0;0;106
Wealden;Charles Hendry;20;East Sussex;76537;31090;5266;13911;3319;1383;0;0;0
Weaver Vale;Graham Evans;11;Cheshire;66538;16953;15962;8196;1018;338;0;0;1523
Wellingborough;Peter Bone;13;Northamptonshire;76857;24918;13131;8848;1636;480;0;0;2648
Wells;Tessa Munt;18;Somerset;79432;23760;4198;24560;1711;631;0;0;1004
Welwyn Hatfield;Grant Shapps;14;Hertfordshire;72058;27894;10471;8010;1643;796;0;0;158
Wentworth and Dearne;John Healey;8;South Yorkshire;72586;7396;21316;6787;3418;0;0;0;3189
West Bromwich East;Tom Watson;9;Black Country;62824;10961;17657;4993;984;0;0;0;3355
West Bromwich West;Adrian Bailey;9;Black Country;65013;10612;16263;4336;1566;0;0;3394;0
West Ham;Lyn Brown;16;Newham;85313;6888;29422;5392;766;645;0;0;3838
Westminster North;Karen Buck;16;City of Westminster;66739;15251;17377;5513;315;478;0;0;664
Westmorland and Lonsdale;Tim Farron;4;Cumbria;67881;18632;1158;30896;801;0;0;0;0
Weston-Super-Mare;John Penrose;15;Bristol area;78487;23356;5772;20665;1406;0;0;0;1517
Wigan;Lisa Nandy;6;Western Manchester;75564;10917;21404;6797;2516;0;0;0;2506
Wiltshire North;James Gray;15;Wiltshire;66313;25114;3239;17631;1908;599;0;0;208
Wiltshire South West;Andrew Murrison;15;Wiltshire;71645;25321;5613;14954;2684;0;0;0;446
Wimbledon;Stephen Hammond;17;Merton;65723;23257;10550;11849;914;590;0;0;235
Winchester;Steve Brine;19;Hampshire;73806;27155;3051;24107;1139;0;0;0;503
Windsor;Adam Afriyie;19;Berkshire;69511;30172;4910;11118;1612;628;0;0;1148
Wirral South;Alison McGovern;5;Merseyside;56099;15745;16276;6611;1274;0;0;0;0
Wirral West;Esther McVey;5;Merseyside;55050;16726;14290;6630;899;0;0;0;827
Witham;Priti Patel;14;Essex;66750;24448;8656;9252;3060;1419;0;0;0
Witney;David Cameron;15;Oxfordshire;78766;33973;7511;11233;2001;2385;0;0;666
Woking;Jonathan Lord;19;Surrey;73838;26551;4246;19744;1997;0;0;0;248
Wokingham;John Redwood;19;Berkshire;76219;28754;5516;15262;1664;567;0;0;2765
Wolverhampton North East;Emma Reynolds;9;Black Country;59324;11964;14448;4711;1138;0;0;0;2633
Wolverhampton South East;Pat McFadden;9;Black Country;60450;9912;16505;5277;2675;0;0;0;338
Wolverhampton South West;Paul Uppal;9;Black Country;59160;16344;15653;6430;1487;0;0;0;246
Worcester;Robin Walker;11;Hereford and Worcestershire;72831;19358;16376;9525;1360;735;0;0;1620
Worcestershire Mid;Peter Luff;11;Hereford and Worcestershire;72171;27770;7613;11906;3049;593;0;0;0
Worcestershire West;Harriett Baldwin;11;Hereford and Worcestershire;73270;27213;3661;20459;2119;641;0;0;0
Workington;Tony Cunningham;4;Cumbria;59607;13290;17865;5318;876;0;0;0;1910
Worsley and Eccles South;Barbara Keeley;6;Central Manchester;72473;13555;17892;6883;2037;0;0;0;1334
