Name;MP;Region;County Area;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
Aldershot;Gerald Howarth;19;Hampshire;71469;21203;5489;15617;2041;0;0;0;1034
Aldridge-Brownhills;Richard Shepherd;9;Black Country;59355;22913;7647;6833;0;847;0;0;394
Altrincham and Sale West;Graham Brady;6;Central Manchester;71254;24176;11073;12581;1563;0;0;0;0
Amber Valley;Nigel Mills;10;Derbyshire;70171;17746;17210;6636;906;0;0;3195;265
Arundel and South Downs;Nick Herbert;20;West Sussex;77564;32333;4835;15642;3172;0;0;0;0
Ashfield;Gloria de Piero;10;Nottinghamshire;77379;10698;16239;16047;933;0;0;2781;1498
Ashford;Damian Green;20;Kent;81269;29878;9204;12581;2508;1014;0;0;0
Ashton under Lyne;David Heyes;6;Eastern Manchester;67564;9510;18604;5703;1686;0;0;2929;0
Aylesbury;David Lidington;14;Buckinghamshire;77934;27736;6695;15118;3613;0;0;0;0
Banbury;Tony Baldry;15;Oxfordshire;86986;29703;10773;11476;2806;959;0;0;524
Barking;Margaret Hodge;16;Barking and Dagenham;73864;8073;24628;3719;1300;317;0;6620;686
Barnsley Central;Eric Illsley;8;South Yorkshire;65543;6388;17487;6394;1727;0;0;3307;1698
Barnsley East;Michael Dugher;8;South Yorkshire;68435;6329;18059;6969;1731;0;0;3301;1997
Barrow and Furness;John Woodcock;4;Cumbria;68758;16018;21226;4424;841;530;0;0;1085
Basildon and Billericay;John Baron;14;Essex;65482;21922;9584;6538;1591;0;0;1934;0
Basildon South and East Thurrock;Stephen Metcalfe;14;Essex;71815;19624;13852;5977;2639;0;0;0;2643
Basingstoke;Maria Miller;19;Hampshire;75470;25590;10327;12414;2076;0;0;0;247
Bassetlaw;John Mann;10;Nottinghamshire;76542;16803;25018;5570;1779;0;0;0;407
Bath;Don Foster;15;Bristol area;65603;14768;3251;26651;890;1120;0;0;406
Batley and Spen;Mike Wood;7;West Yorkshire;76732;17159;21565;8095;0;605;0;3685;0
Battersea;Jane Ellison;17;Wandsworth;74300;23103;17126;7176;505;559;0;0;323
Beaconsfield;Dominic Grieve;14;Buckinghamshire;74982;32053;6135;10271;2597;768;0;0;666
Beckenham;Bob Stewart;17;Bromley;66219;27597;6893;9813;1551;608;0;0;1224
Bedford;Richard Fuller;13;Bedfordshire;68491;17546;16193;8957;1136;393;0;0;877
Bedfordshire Mid;Nadine Dorries;13;Bedfordshire;76023;28815;8108;13663;2826;773;0;0;712
Bedfordshire North East;Alistair Burt;13;Bedfordshire;78060;30989;8957;12047;2294;0;0;0;1265
Bedfordshire South West;Andrew Selous;13;Bedfordshire;76559;26815;9948;10166;2142;0;0;0;1703
Bermondsey and Old Southwark;Simon Hughes;17;Southwark;77623;7638;13060;21590;0;718;0;0;1645
Berwick-upon-Tweed;Alan Beith;4;Northumberland;57403;14116;5061;16806;1243;0;0;0;1213
Bethnal Green and Bow;Rushanara Ali;16;Tower Hamlets;81243;7071;21784;10210;0;856;0;8532;2275
Beverley and Holderness;Graham Stuart;8;Humber area;79611;25063;11224;12076;1845;686;0;2080;225
Bexhill and Battle;Greg Barker;20;East Sussex;79208;28147;6524;15267;0;0;0;2699;1950
Bexleyheath and Crayford;David Evennett;17;Bexley;64985;21794;11450;5502;1557;371;0;0;2508
Birkenhead;Frank Field;5;Merseyside;62773;6687;22082;6554;0;0;0;0;0
Birmingham Edgbaston;Gisela Stuart;9;Birmingham;68573;15620;16894;6387;732;469;0;0;1469
Birmingham Erdington;Jack Dromey;9;Birmingham;66405;11592;14869;5742;842;0;0;0;2501
Birmingham Hall Green;Roger Godsiff;9;Birmingham;76580;7320;16039;11988;950;0;0;12240;190
Birmingham Hodge Hill;Liam Byrne;9;Birmingham;75040;4936;22077;11775;714;0;0;0;2970
Birmingham Ladywood;Shabana Mahmood;9;Birmingham;73646;4277;19950;9845;902;859;0;0;0
Birmingham Northfield;Richard Burden;9;Birmingham;71338;14059;16841;6550;1363;406;0;0;2595
Birmingham Perry Barr;Khalid Mahmood;9;Birmingham;71304;8960;21142;9234;1675;0;0;0;1034
Birmingham Selly Oak;Stephen McCabe;9;Birmingham;74805;14468;17950;10371;1131;664;0;0;1979
Birmingham Yardley;John Hemming;9;Birmingham;72321;7836;13160;16162;1190;0;0;0;2502
Bishop Auckland;Helen Goodman;4;Durham;68370;10805;16023;9189;1119;0;0;0;4000
Blackburn;Jack Straw;5;Lancashire;72331;11895;21751;6918;942;0;0;0;3993
Blackley and Broughton;Graham Stringer;6;Central Manchester;69489;6260;18563;4861;894;0;0;0;3626
Blackpool North and Cleveleys;Paul Maynard;5;Lancashire;65888;16964;14814;5400;1659;0;0;0;1754
Blackpool South;Gordon Marsden;5;Lancashire;63025;12597;14449;5082;1352;0;0;0;1712
Blaydon;David Anderson;4;Newcastle area;67808;7159;22297;13180;0;0;0;0;2277
Blyth Valley;Ronnie Campbell;4;Northumberland;64263;6412;17156;10488;1665;0;0;0;2845
Bognor Regis and Littlehampton;Nick Gibb;20;West Sussex;70812;24087;6580;11024;3036;0;0;0;2125
Bolsover;Dennis Skinner;10;Derbyshire;72766;10812;21994;6821;1721;0;0;0;2640
Bolton North East;David Crausby;6;Western Manchester;67281;15786;19870;5624;1815;0;0;0;182
Bolton South East;Yasmin Qureshi;6;Western Manchester;69928;10148;18782;6289;1564;614;0;0;2207
Bolton West;Julie Hilling;6;Western Manchester;71250;18235;18327;8177;1901;545;0;0;391
Bootle;Joe Benton;5;Merseyside;71426;3678;27426;6245;2514;0;0;0;1414
Boston and Skegness;Mark Simmonds;8;Lincolnshire;70529;21325;8899;6371;4081;0;0;0;2449
Bosworth;David Tredinnick;10;Leicestershire;77296;23132;8674;18100;1098;0;0;0;3270
Bournemouth East;Tobias Ellwood;18;Dorset;71125;21320;5836;13592;3027;0;0;0;249
Bournemouth West;Conor Burns;18;Dorset;71753;18808;6171;13225;2999;0;0;0;456
Bracknell;Phillip Lee;19;Berkshire;76885;27327;8755;11623;2297;825;0;0;1309
Bradford East;David Ward;7;West Yorkshire;65116;10860;13272;13637;0;0;0;0;2688
Bradford South;Gerry Sutcliffe;7;West Yorkshire;63580;11060;15682;6948;1339;0;0;0;2966
Bradford West;Marsha Singh;7;West Yorkshire;62519;12638;18401;4732;812;940;0;1370;1683
Braintree;Brooks Newmark;14;Essex;71162;25901;9780;9247;2477;718;0;0;1080
Brent Central;Sarah Teather;16;Brent;74076;5067;18681;20026;0;668;0;0;881
Brent North;Barry Gardiner;16;Brent;83896;16486;24514;8879;380;725;0;0;1314
Brentford and Isleworth;Mary Macleod;17;Hounslow;83546;20022;18064;12718;863;787;0;0;1311
Brentwood and Ongar;Eric Pickles;14;Essex;73224;28793;4992;11872;2037;584;0;0;2314
Bridgwater and West Somerset;Ian Liddell-Grainger;18;Somerset;76560;24675;9332;15426;2604;859;0;0;1597
Brigg and Goole;Andrew Percy;8;Humber area;67345;19680;14533;6414;1749;0;0;0;1498
Brighton Kemptown;Simon Kirby;20;East Sussex;66017;16217;14889;7691;1384;2330;0;0;194
Brighton Pavilion;Caroline Lucas;20;East Sussex;74004;12275;14986;7159;948;16238;0;0;228
Bristol East;Kerry McCarthy;15;Bristol area;69448;12749;16471;10993;1510;803;0;0;2491
Bristol North West;Charlotte Leslie;15;Bristol area;73469;19115;13059;15841;1175;511;0;0;635
Bristol South;Dawn Primarolo;15;Bristol area;78579;11086;18600;13866;1264;1216;0;0;2345
Bristol West;Stephen Williams;15;Bristol area;82728;10169;15227;26593;655;2090;0;0;613
Broadland;Keith Simpson;13;Norfolk;73168;24338;7287;17046;2382;752;0;0;871
Bromley and Chislehurst;Bob Neill;17;Bromley;65427;23569;7295;9669;1451;607;0;0;1446
Bromsgrove;Sajid Javid;11;Hereford and Worcestershire;73086;22558;11250;10124;2950;0;0;0;4748
Broxbourne;Charles Walker;14;Hertfordshire;71391;26844;8040;6107;1890;0;0;0;2777
Broxtowe;Anna Soubry;10;Nottinghamshire;72042;20585;20196;8907;1194;423;0;0;1422
Buckingham;John Bercow;14;Buckinghamshire;74996;22860;0;0;8401;0;0;10331;6743
Burnley;Gordon Birtwistle;5;Lancashire;66616;6950;13114;14932;929;0;0;3747;2173
Burton;Andrew Griffiths;11;Staffordshire;74874;22188;15884;7891;1451;0;0;0;2409
Bury North;David Nuttall;6;Western Manchester;66759;18070;15827;7645;1282;0;0;0;2137
Bury South;Ivan Lewis;6;Western Manchester;73544;16216;19508;8796;1017;493;0;0;2237
Bury St Edmunds;David Ruffley;13;Suffolk;84727;27899;9776;15519;3003;2521;0;0;0
Calder Valley;Craig Whittaker;7;West Yorkshire;76903;20397;13966;13037;1173;858;0;0;2349
Camberwell and Peckham;Harriet Harman;17;Southwark;78618;6080;27619;10432;0;1361;0;0;1167
Camborne and Redruth;George Eustice;18;Cornwall;63968;15969;6945;15903;2152;581;0;0;943
Cambridge;Julian Huppert;13;Cambridgeshire;77081;12829;12174;19621;1195;3804;0;0;507
Cambridgeshire North East;Stephen Barclay;13;Cambridgeshire;73224;26862;9274;10437;2991;0;0;0;2500
Cambridgeshire North West;Shailesh Vara;13;Cambridgeshire;88857;29425;9877;12748;4826;0;0;0;1407
Cambridgeshire South;Andrew Lansley;13;Cambridgeshire;78995;27995;6024;20157;1873;1039;0;0;1968
Cambridgeshire South East;James Paice;13;Cambridgeshire;83068;27629;4380;21683;2138;766;0;0;1006
Cannock Chase;Aidan Burley;11;Staffordshire;74509;18271;15076;7732;1580;0;0;2168;732
Canterbury;Julian Brazier;20;Kent;76808;22050;7940;16002;1907;1137;0;0;173
Carlisle;John Stevenson;4;Cumbria;65263;16589;15736;6567;969;614;0;0;1725
Carshalton and Wallington;Tom Brake;17;Sutton;66520;16920;4015;22180;1348;355;0;0;1100
Castle Point;Rebecca Harris;14;Essex;67284;19806;6609;4232;0;0;0;12174;2205
Charnwood;Stephen Dorrell;10;Leicestershire;74473;26560;10536;11531;1799;0;0;0;3116
Chatham and Aylesford;Tracey Crouch;20;Kent;71122;20230;14161;5832;1314;396;0;0;1874
Cheadle;Mark Hunter;6;Eastern Manchester;72458;21445;4920;24717;1430;0;0;0;0
Chelmsford;Simon Burns;14;Essex;77529;25207;5980;20097;1527;476;0;0;1306
Chelsea and Fulham;Greg Hands;16;Hammersmith and Fulham;66295;24093;7371;6473;478;671;0;0;770
Cheltenham;Martin Horwood;15;Gloucestershire;78998;21739;2703;26659;1192;0;0;0;493
Chesham and Amersham;Cheryl Gillan;14;Buckinghamshire;70333;31658;2942;14948;2129;767;0;0;0
Chester, City of;Stephen Mosley;11;Cheshire;68874;18995;16412;8930;1225;535;0;0;693
Chesterfield;Toby Perkins;10;Derbyshire;71878;7214;17891;17342;1432;600;0;0;1360
Chichester;Andrew Tyrie;20;West Sussex;81462;31427;5937;15550;3873;0;0;0;0
Chingford and Woodford Green;Iain Duncan Smith;16;Waltham Forest;64831;22743;9780;7242;1133;650;0;0;1558
Chippenham;Duncan Hames;15;Wiltshire;72105;21500;3620;23970;1783;446;0;0;1066
Chipping Barnet;Theresa Villiers;16;Barnet;77798;24700;12773;10202;1442;1021;0;0;470
Chorley;Lindsay Hoyle;5;Lancashire;70950;18922;21515;6957;2021;0;0;0;359
Christchurch;Christopher Chope;18;Dorset;68861;27888;4849;12478;4201;0;0;0;0
Cities of London and Westminster;Mark Field;16;City of Westminster;66489;19264;8188;7574;664;778;0;0;463
Clacton;Douglas Carswell;14;Essex;67194;22867;10799;5577;0;535;0;0;3345
Cleethorpes;Martin Vickers;8;Humber area;70214;18939;14641;8192;3194;0;0;0;0
Colchester;Bob Russell;14;Essex;74062;15169;5680;22151;1350;694;0;0;1095
Colne Valley;Jason McCartney;7;West Yorkshire;80062;20440;14589;15603;1163;867;0;0;2634
Congleton;Fiona Bruce;11;Cheshire;73692;23250;8747;16187;2147;0;0;0;449
Copeland;Jamie Reed;4;Cumbria;63291;15866;19699;4365;994;389;0;0;1474
Corby;Louise Bagshaw;13;Northamptonshire;78305;22886;20991;7834;0;0;0;0;2525
Cornwall North;Dan Rogerson;18;Cornwall;68662;19531;1971;22512;2300;0;0;0;530
Cornwall South East;Sheryll Murray;18;Cornwall;72237;22390;3507;19170;3083;826;0;0;641
Cotswolds, The;Geoffrey Clifton-Brown;15;Gloucestershire;76728;29075;5886;16211;2292;940;0;0;428
Coventry North East;Bob Ainsworth;9;Coventry and Solihull;73035;9609;21384;7210;1291;0;0;0;3889
Coventry North West;Geoffrey Robinson;9;Coventry and Solihull;72871;13648;19936;8344;1295;497;0;0;2840
Coventry South;Jim Cunningham;9;Coventry and Solihull;73652;15352;19197;8278;1767;639;0;0;691
Crawley;Henry Smith;20;West Sussex;72781;21264;15336;6844;1382;598;0;0;2080
Crewe and Nantwich;Edward Timpson;11;Cheshire;77460;23420;17374;7656;1414;0;0;0;1220
Croydon Central;Gavin Barwell;17;Croydon;78880;19657;16688;6553;997;581;0;3239;2042
Croydon North;Malcolm Wicks;17;Croydon;85212;12466;28947;7226;891;1017;0;0;1129
Croydon South;Richard Ottaway;17;Croydon;81301;28684;11287;12866;2504;981;0;0;0
Dagenham and Rainham;Jon Cruddas;16;Barking and Dagenham;69764;15183;17813;3806;1569;296;0;4952;613
Darlington;Jenny Chapman;4;Durham;69352;13503;16891;10046;1194;0;0;0;1262
Dartford;Gareth Johnson;20;Kent;76271;24428;13800;7361;1842;0;0;0;2649
Daventry;Chris Heaton-Harris;13;Northamptonshire;71451;29252;8168;10064;2333;770;0;0;1187
Denton and Reddish;Andrew Gwynne;6;Eastern Manchester;64765;9360;19191;6727;2060;0;0;0;297
Derby North;Chris Williamson;10;Derbyshire;71484;14283;14896;12638;829;0;0;0;2434
Derby South;Margaret Beckett;10;Derbyshire;71012;11729;17851;8430;1821;0;0;0;1357
Derbyshire Dales;Patrick McLoughlin;10;Derbyshire;63367;24378;9061;10512;1779;772;0;0;278
Derbyshire Mid;Pauline Latham;10;Derbyshire;66297;22877;11585;9711;1252;0;0;0;1917
Derbyshire North East;Natascha Engel;10;Derbyshire;71422;15503;17948;10947;2636;0;0;0;0
Derbyshire South;Heather Wheeler;10;Derbyshire;70610;22935;15807;8012;1206;0;0;0;2459
Devizes;Claire Perry;15;Wiltshire;67374;25519;4711;12514;2076;813;0;0;707
Devon Central;Mel Stride;18;Devon;71204;27737;3715;18507;2870;1044;0;0;0
Devon East;Hugo Swire;18;Devon;73109;25662;5721;16548;4346;815;0;0;0
Devon North;Nick Harvey;18;Devon;74508;18484;2671;24305;3720;697;0;0;1444
Devon South West;Gary Streeter;18;Devon;70059;27908;6193;12034;3084;641;0;0;0
Devon West and Torridge;Geoffrey Cox;18;Devon;76574;25230;2917;22273;3021;1050;0;0;766
Dewsbury;Simon Reevell;7;West Yorkshire;78901;18898;17372;9150;0;849;0;3813;3926
Don Valley;Caroline Flint;8;South Yorkshire;73214;12877;16472;7422;1904;0;0;0;4755
Doncaster Central;Rosie Winterton;8;South Yorkshire;75207;10340;16569;8795;1421;0;0;0;4620
Doncaster North;Ed Miliband;8;South Yorkshire;72381;8728;19637;6174;1797;0;0;2818;2329
Dorset Mid and Poole North;Annette Brooke;18;Dorset;64660;20831;2748;21100;2109;0;0;0;0
Dorset North;Robert Walter;18;Dorset;73698;27640;2910;20015;2812;546;0;0;218
Dorset South;Richard Drax;18;Dorset;73838;22667;15224;9557;2034;595;0;0;233
Dorset West;Oliver Letwin;18;Dorset;76869;27287;3815;23364;2196;675;0;0;0
Dover;Charlie Elphicke;20;Kent;71832;22174;16900;7962;1747;0;0;0;1602
Dudley North;Ian Austin;9;Black Country;60838;14274;14923;4066;3267;0;0;0;2072
Dudley South;Chris Kelly;9;Black Country;60572;16450;12594;5989;3132;0;0;0;0
Dulwich and West Norwood;Tessa Jowell;17;Lambeth;72817;10684;22461;13096;707;1266;0;0;0
Durham North;Kevan Jones;4;Durham;67548;8622;20698;8617;1344;0;0;0;1686
Durham North West;Pat Glass;4;Durham;70618;8766;18539;10927;1259;0;0;2472;1852
Durham, City of;Roberta Blackman-Woods;4;Durham;68832;6146;20496;17429;856;0;0;0;1325
Ealing Central and Acton;Angie Bray;17;Ealing;63489;17944;14228;13041;765;737;0;0;485
Ealing North;Stephen Pound;17;Ealing;67902;14722;24023;6283;685;505;0;0;1460
Ealing Southall;Virendra Sharma;17;Ealing;60379;12733;22024;6383;0;705;0;0;911
Easington;Grahame Morris;4;Durham;63873;4790;20579;5597;1631;0;0;0;2317
East Ham;Stephen Timms;16;Newham;90675;7645;35471;5849;0;586;0;0;822
Eastbourne;Stephen Lloyd;20;East Sussex;77840;21223;2497;24658;1305;0;0;1327;1114
Eastleigh;Christopher Huhne;19;Hampshire;77435;21102;5153;24966;1933;0;0;0;496
Eddisbury;Stephen O'Brien;11;Cheshire;65306;23472;9794;10217;1931;0;0;0;0
Edmonton;Andy Love;16;Enfield;63902;12052;21665;4252;1036;516;0;0;856
Ellesmere Port and Neston;Andrew Miller;11;Cheshire;63097;15419;19750;6663;1619;0;0;0;782
Elmet and Rothwell;Alec Shelbrooke;7;West Yorkshire;77724;23778;19257;9109;1593;0;0;0;2052
Eltham;Clive Efford;17;Greenwich;62590;15753;17416;5299;1011;419;0;0;2066
Enfield North;Nick de Bois;16;Enfield;66258;18804;17112;5403;938;489;0;0;1707
Enfield Southgate;David Burrowes;16;Enfield;64138;21928;14302;6124;505;632;0;0;861
Epping Forest;Eleanor Laing;14;Essex;72198;25148;6641;10017;1852;659;0;0;2267
Epsom and Ewell;Chris Grayling;19;Surrey;78104;30868;6538;14734;2549;0;0;0;266
Erewash;Jessica Lee;10;Derbyshire;69654;18805;16304;8343;855;534;0;0;2801
Erith and Thamesmead;Teresa Pearce;17;Bexley;69918;13365;19068;5116;1139;322;0;2184;1282
Esher and Walton;Dominic Raab;19;Surrey;75338;32134;5829;13541;1783;0;0;0;1256
Exeter;Ben Bradshaw;18;Devon;77157;17221;19942;10581;1930;792;0;0;1781
Fareham;Mark Hoban;19;Hampshire;75878;30037;7719;12945;2235;791;0;0;618
Faversham and Kent Mid;Hugh Robertson;20;Kent;68858;26250;7748;9162;1722;890;0;0;940
Feltham and Heston;Alan Keen;17;Hounslow;81058;16516;21174;6679;992;530;0;0;2645
Filton and Bradley Stoke;Jack Lopresti;15;Bristol area;69003;19686;12772;12197;1506;441;0;0;1699
Finchley and Golders Green;Mike Freer;16;Barnet;77198;21688;15879;8036;817;737;0;0;0
Folkestone and Hythe;Damian Collins;20;Kent;78003;26109;5719;15987;2439;637;0;0;1909
Forest of Dean;Mark Harper;15;Gloucestershire;68419;22853;11789;10676;2522;923;0;0;0
Fylde;Mark Menzies;5;Lancashire;65917;22826;8624;9641;1945;654;0;0;0
Gainsborough;Edward Leigh;8;Lincolnshire;72144;24266;7701;13707;2065;0;0;0;1512
Garston and Halewood;Maria Eagle;5;Merseyside;71312;6908;25493;8616;1540;0;0;0;268
Gateshead;Ian Mearns;4;Newcastle area;66492;5716;20712;8163;1103;379;0;0;2184
Gedling;Vernon Coaker;10;Nottinghamshire;70590;17962;19821;7350;1459;0;0;0;1598
Gillingham and Rainham;Rehman Chishti;20;Kent;70865;21624;12944;8484;1515;356;0;0;1863
Gloucester;Richard Graham;15;Gloucestershire;79322;20267;17847;9767;1808;511;0;0;564
Gosport;Caroline Dinenage;19;Hampshire;72720;24300;7944;9887;1496;573;0;0;2739
Grantham and Stamford;Nicholas Boles;8;Lincolnshire;78000;26552;9503;11726;1604;0;0;0;3414
Gravesham;Adam Holloway;20;Kent;70195;22956;13644;6293;2265;675;0;0;1470
Great Grimsby;Austin Mitchell;8;Humber area;61229;10063;10777;7388;2043;0;0;0;2683
Great Yarmouth;Brandon Lewis;13;Norfolk;70315;18571;14295;6188;2066;416;0;0;1521
Greenwich and Woolwich;Nick Raynsford;17;Greenwich;65489;10109;20262;7498;0;1054;0;0;2265
Guildford;Anne Milton;19;Surrey;77082;29618;2812;21836;1021;0;0;0;280
Hackney North and Stoke Newington;Diane Abbott;16;Hackney;73874;6759;25553;11092;0;2133;0;0;951
Hackney South and Shoreditch;Meg Hillier;16;Hackney;72816;5800;23888;9600;651;1493;0;0;1426
Halesowen and Rowley Regis;James Morris;9;Black Country;63693;18115;16092;6515;2824;0;0;0;433
Halifax;Linda Riordan;7;West Yorkshire;70380;14806;16278;8335;654;0;0;0;3482
Haltemprice and Howden;David Davis;8;Humber area;70403;24486;7630;12884;0;669;0;0;3068
Halton;Derek Twigg;11;Cheshire;68884;8339;23843;5718;1228;647;0;0;1563
Hammersmith;Andy Slaughter;16;Hammersmith and Fulham;72348;17261;20810;7567;551;696;0;0;567
Hampshire East;Damian Hinds;19;Hampshire;72250;29137;4043;15640;1477;0;0;0;1020
Hampshire North East;James Arbuthnot;19;Hampshire;72196;32075;5173;13478;2213;0;0;0;0
Hampshire North West;Sir George Young;19;Hampshire;76040;31072;6980;12489;2751;0;0;0;0
Hampstead and Kilburn;Glenda Jackson;16;Camden;79713;17290;17332;16491;408;759;0;0;542
Harborough;Edward Garnier;10;Leicestershire;77917;26894;6981;17097;1462;0;0;0;2511
Harlow;Robert Halfon;14;Essex;67439;19691;14766;5990;1591;0;0;0;1840
Harrogate and Knaresborough;Andrew Jones;7;North Yorkshire;75269;24305;3413;23266;1056;0;0;0;1094
Harrow East;Bob Blackman;16;Harrow;68554;21435;18032;6850;896;793;0;0;0
Harrow West;Gareth Thomas;16;Harrow;71510;16968;20111;7458;954;625;0;0;0
Hartlepool;Iain Wright;4;Teesside;68923;10758;16267;6533;2682;0;0;0;2002
Harwich and North Essex;Bernard Jenkin;14;Essex;70743;23001;9774;11554;2527;909;0;0;1235
Hastings and Rye;Amber Rudd;20;East Sussex;78000;20468;18475;7825;1397;0;0;0;1649
Havant;David Willetts;19;Hampshire;69712;22433;7777;10273;2611;0;0;0;809
Hayes and Harlington;John McDonnell;17;Hillingdon;70233;12553;23377;3726;0;348;0;0;2633
Hazel Grove;Andrew Stunell;6;Eastern Manchester;63074;14114;5234;20485;2148;0;0;0;0
Hemel Hempstead;Michael Penning;14;Hertfordshire;72754;24721;10295;11315;1254;0;0;0;1886
Hemsworth;Jon Trickett;7;West Yorkshire;72552;10662;20506;5667;0;0;0;3946;3059
Hendon;Matthew Offord;16;Barnet;78923;19635;19529;5734;958;518;0;0;0
Henley;John Howell;15;Oxfordshire;75005;30054;5835;13466;1817;1328;0;0;1020
Hereford and South Herefordshire;Jesse Norman;11;Hereford and Worcestershire;71435;22366;3506;19885;1638;0;0;0;986
Herefordshire North;Bill Wiggin;11;Hereford and Worcestershire;66525;24631;3373;14744;2701;1533;0;0;586
Hertford and Stortford;Mark Prisk;14;Hertfordshire;78459;29810;7620;14373;1716;0;0;0;1858
Hertfordshire North East;Oliver Heald;14;Hertfordshire;72200;26995;8291;11801;2075;875;0;0;388
Hertfordshire South West;David Gauke;14;Hertfordshire;78248;30773;6526;15853;1450;0;0;0;2148
Hertsmere;James Clappison;14;Hertfordshire;73062;26476;8871;8210;1712;604;0;0;1397
Hexham;Guy Opperman;4;Northumberland;61375;18795;8253;13007;0;0;0;0;3428
Heywood and Middleton;Jim Dobbin;6;Eastern Manchester;80171;12528;18499;10474;1215;0;0;0;3409
High Peak;Andrew Bingham;10;Derbyshire;71973;20587;15910;10993;1690;922;0;0;235
Hitchin and Harpenden;Peter Lilley;14;Hertfordshire;73851;29869;7413;14598;1663;807;0;0;357
Holborn and St Pancras;Frank Dobson;16;Camden;86863;11134;25198;15256;587;1480;0;0;994
